month,part_id,x,y,height_um,product_test_score
previous,P-0000,0,0,40.0863,95.915
previous,P-0000,1,0,40.3141,95.915
previous,P-0000,2,0,40.2019,95.915
previous,P-0000,3,0,40.2794,95.915
previous,P-0000,4,0,40.3695,95.915
previous,P-0000,5,0,40.3078,95.915
previous,P-0000,6,0,40.0755,95.915
previous,P-0000,7,0,40.752,95.915
previous,P-0000,8,0,40.7526,95.915
previous,P-0000,9,0,40.7135,95.915
previous,P-0000,0,1,39.9778,95.915
previous,P-0000,1,1,40.1457,95.915
previous,P-0000,2,1,39.7834,95.915
previous,P-0000,3,1,39.8487,95.915
previous,P-0000,4,1,40.6065,95.915
previous,P-0000,5,1,39.999,95.915
previous,P-0000,6,1,40.2238,95.915
previous,P-0000,7,1,40.3675,95.915
previous,P-0000,8,1,40.4735,95.915
previous,P-0000,9,1,40.488,95.915
previous,P-0000,0,2,39.8883,95.915
previous,P-0000,1,2,39.9587,95.915
previous,P-0000,2,2,40.2105,95.915
previous,P-0000,3,2,40.1567,95.915
previous,P-0000,4,2,40.2072,95.915
previous,P-0000,5,2,39.7849,95.915
previous,P-0000,6,2,40.2848,95.915
previous,P-0000,7,2,40.2761,95.915
previous,P-0000,8,2,40.2088,95.915
previous,P-0000,9,2,40.7314,95.915
previous,P-0000,0,3,39.609,95.915
previous,P-0000,1,3,39.8894,95.915
previous,P-0000,2,3,40.1373,95.915
previous,P-0000,3,3,39.9884,95.915
previous,P-0000,4,3,39.6498,95.915
previous,P-0000,5,3,40.3118,95.915
previous,P-0000,6,3,39.8023,95.915
previous,P-0000,7,3,39.9564,95.915
previous,P-0000,8,3,40.4157,95.915
previous,P-0000,9,3,40.145,95.915
previous,P-0000,0,4,39.7527,95.915
previous,P-0000,1,4,39.6455,95.915
previous,P-0000,2,4,39.8628,95.915
previous,P-0000,3,4,40.1011,95.915
previous,P-0000,4,4,39.6442,95.915
previous,P-0000,5,4,40.0215,95.915
previous,P-0000,6,4,39.7242,95.915
previous,P-0000,7,4,40.4751,95.915
previous,P-0000,8,4,40.0012,95.915
previous,P-0000,9,4,40.345,95.915
previous,P-0000,0,5,39.7836,95.915
previous,P-0000,1,5,39.7774,95.915
previous,P-0000,2,5,39.703,95.915
previous,P-0000,3,5,39.5714,95.915
previous,P-0000,4,5,40.1258,95.915
previous,P-0000,5,5,39.7402,95.915
previous,P-0000,6,5,39.945,95.915
previous,P-0000,7,5,39.967,95.915
previous,P-0000,8,5,40.2762,95.915
previous,P-0000,9,5,40.5854,95.915
previous,P-0000,0,6,39.5473,95.915
previous,P-0000,1,6,39.7172,95.915
previous,P-0000,2,6,39.9146,95.915
previous,P-0000,3,6,39.9965,95.915
previous,P-0000,4,6,39.7716,95.915
previous,P-0000,5,6,39.8279,95.915
previous,P-0000,6,6,40.1363,95.915
previous,P-0000,7,6,39.6361,95.915
previous,P-0000,8,6,40.2024,95.915
previous,P-0000,9,6,39.9712,95.915
previous,P-0000,0,7,39.6426,95.915
previous,P-0000,1,7,39.6492,95.915
previous,P-0000,2,7,39.5577,95.915
previous,P-0000,3,7,39.7587,95.915
previous,P-0000,4,7,39.6809,95.915
previous,P-0000,5,7,39.977,95.915
previous,P-0000,6,7,39.7131,95.915
previous,P-0000,7,7,39.7259,95.915
previous,P-0000,8,7,40.0041,95.915
previous,P-0000,9,7,40.0478,95.915
previous,P-0000,0,8,39.8404,95.915
previous,P-0000,1,8,39.586,95.915
previous,P-0000,2,8,39.6194,95.915
previous,P-0000,3,8,39.4378,95.915
previous,P-0000,4,8,39.7327,95.915
previous,P-0000,5,8,39.5419,95.915
previous,P-0000,6,8,39.77,95.915
previous,P-0000,7,8,39.7018,95.915
previous,P-0000,8,8,40.0293,95.915
previous,P-0000,9,8,39.994,95.915
previous,P-0000,0,9,39.735,95.915
previous,P-0000,1,9,39.3694,95.915
previous,P-0000,2,9,39.5859,95.915
previous,P-0000,3,9,39.6372,95.915
previous,P-0000,4,9,39.6299,95.915
previous,P-0000,5,9,39.9008,95.915
previous,P-0000,6,9,39.7488,95.915
previous,P-0000,7,9,39.6364,95.915
previous,P-0000,8,9,39.9664,95.915
previous,P-0000,9,9,40.293,95.915
previous,P-0001,0,0,40.358,93.757
previous,P-0001,1,0,40.3174,93.757
previous,P-0001,2,0,40.3032,93.757
previous,P-0001,3,0,40.3885,93.757
previous,P-0001,4,0,40.6652,93.757
previous,P-0001,5,0,40.5673,93.757
previous,P-0001,6,0,40.575,93.757
previous,P-0001,7,0,40.9217,93.757
previous,P-0001,8,0,41.0196,93.757
previous,P-0001,9,0,41.2054,93.757
previous,P-0001,0,1,40.2215,93.757
previous,P-0001,1,1,40.2145,93.757
previous,P-0001,2,1,40.2391,93.757
previous,P-0001,3,1,40.1619,93.757
previous,P-0001,4,1,40.4086,93.757
previous,P-0001,5,1,40.3065,93.757
previous,P-0001,6,1,40.5862,93.757
previous,P-0001,7,1,40.7197,93.757
previous,P-0001,8,1,41.0167,93.757
previous,P-0001,9,1,41.1863,93.757
previous,P-0001,0,2,39.9929,93.757
previous,P-0001,1,2,39.9053,93.757
previous,P-0001,2,2,39.8837,93.757
previous,P-0001,3,2,40.5311,93.757
previous,P-0001,4,2,40.2417,93.757
previous,P-0001,5,2,40.4587,93.757
previous,P-0001,6,2,40.5517,93.757
previous,P-0001,7,2,40.9326,93.757
previous,P-0001,8,2,40.9801,93.757
previous,P-0001,9,2,40.9598,93.757
previous,P-0001,0,3,40.0551,93.757
previous,P-0001,1,3,39.7909,93.757
previous,P-0001,2,3,40.0996,93.757
previous,P-0001,3,3,39.6716,93.757
previous,P-0001,4,3,40.3742,93.757
previous,P-0001,5,3,40.358,93.757
previous,P-0001,6,3,40.5215,93.757
previous,P-0001,7,3,40.9186,93.757
previous,P-0001,8,3,40.7162,93.757
previous,P-0001,9,3,40.8851,93.757
previous,P-0001,0,4,39.6289,93.757
previous,P-0001,1,4,39.9776,93.757
previous,P-0001,2,4,40.04,93.757
previous,P-0001,3,4,40.2779,93.757
previous,P-0001,4,4,40.2459,93.757
previous,P-0001,5,4,40.4292,93.757
previous,P-0001,6,4,40.5906,93.757
previous,P-0001,7,4,40.7009,93.757
previous,P-0001,8,4,40.7622,93.757
previous,P-0001,9,4,41.0437,93.757
previous,P-0001,0,5,39.9587,93.757
previous,P-0001,1,5,40.0953,93.757
previous,P-0001,2,5,40.4085,93.757
previous,P-0001,3,5,39.9127,93.757
previous,P-0001,4,5,40.2913,93.757
previous,P-0001,5,5,40.3119,93.757
previous,P-0001,6,5,40.4787,93.757
previous,P-0001,7,5,40.7178,93.757
previous,P-0001,8,5,40.7715,93.757
previous,P-0001,9,5,40.7009,93.757
previous,P-0001,0,6,39.7056,93.757
previous,P-0001,1,6,39.9748,93.757
previous,P-0001,2,6,39.8154,93.757
previous,P-0001,3,6,39.851,93.757
previous,P-0001,4,6,40.1003,93.757
previous,P-0001,5,6,40.0114,93.757
previous,P-0001,6,6,40.2622,93.757
previous,P-0001,7,6,40.8873,93.757
previous,P-0001,8,6,40.59,93.757
previous,P-0001,9,6,40.9185,93.757
previous,P-0001,0,7,39.6189,93.757
previous,P-0001,1,7,39.9529,93.757
previous,P-0001,2,7,39.8757,93.757
previous,P-0001,3,7,40.1596,93.757
previous,P-0001,4,7,40.0648,93.757
previous,P-0001,5,7,40.1553,93.757
previous,P-0001,6,7,40.34,93.757
previous,P-0001,7,7,40.5071,93.757
previous,P-0001,8,7,40.6975,93.757
previous,P-0001,9,7,40.6925,93.757
previous,P-0001,0,8,39.5848,93.757
previous,P-0001,1,8,39.5643,93.757
previous,P-0001,2,8,39.7963,93.757
previous,P-0001,3,8,39.6919,93.757
previous,P-0001,4,8,39.8716,93.757
previous,P-0001,5,8,40.175,93.757
previous,P-0001,6,8,40.4516,93.757
previous,P-0001,7,8,40.4245,93.757
previous,P-0001,8,8,40.994,93.757
previous,P-0001,9,8,40.8512,93.757
previous,P-0001,0,9,39.7734,93.757
previous,P-0001,1,9,39.6052,93.757
previous,P-0001,2,9,39.9969,93.757
previous,P-0001,3,9,40.0904,93.757
previous,P-0001,4,9,39.9216,93.757
previous,P-0001,5,9,40.216,93.757
previous,P-0001,6,9,40.6121,93.757
previous,P-0001,7,9,40.5226,93.757
previous,P-0001,8,9,40.7787,93.757
previous,P-0001,9,9,40.726,93.757
previous,P-0002,0,0,40.0672,95.386
previous,P-0002,1,0,40.0449,95.386
previous,P-0002,2,0,40.3283,95.386
previous,P-0002,3,0,40.336,95.386
previous,P-0002,4,0,40.4013,95.386
previous,P-0002,5,0,40.8668,95.386
previous,P-0002,6,0,40.7159,95.386
previous,P-0002,7,0,40.9865,95.386
previous,P-0002,8,0,41.0011,95.386
previous,P-0002,9,0,41.5722,95.386
previous,P-0002,0,1,40.0705,95.386
previous,P-0002,1,1,39.931,95.386
previous,P-0002,2,1,40.2416,95.386
previous,P-0002,3,1,40.3784,95.386
previous,P-0002,4,1,40.5296,95.386
previous,P-0002,5,1,40.5382,95.386
previous,P-0002,6,1,40.6705,95.386
previous,P-0002,7,1,41.2031,95.386
previous,P-0002,8,1,40.9234,95.386
previous,P-0002,9,1,41.0478,95.386
previous,P-0002,0,2,39.5802,95.386
previous,P-0002,1,2,39.9909,95.386
previous,P-0002,2,2,39.935,95.386
previous,P-0002,3,2,40.6962,95.386
previous,P-0002,4,2,40.1919,95.386
previous,P-0002,5,2,40.4378,95.386
previous,P-0002,6,2,41.1094,95.386
previous,P-0002,7,2,41.0577,95.386
previous,P-0002,8,2,40.6823,95.386
previous,P-0002,9,2,41.1641,95.386
previous,P-0002,0,3,39.881,95.386
previous,P-0002,1,3,39.7884,95.386
previous,P-0002,2,3,40.207,95.386
previous,P-0002,3,3,39.9735,95.386
previous,P-0002,4,3,40.0582,95.386
previous,P-0002,5,3,40.6759,95.386
previous,P-0002,6,3,40.7496,95.386
previous,P-0002,7,3,41.123,95.386
previous,P-0002,8,3,40.9201,95.386
previous,P-0002,9,3,41.3707,95.386
previous,P-0002,0,4,39.6682,95.386
previous,P-0002,1,4,40.1035,95.386
previous,P-0002,2,4,40.3631,95.386
previous,P-0002,3,4,39.996,95.386
previous,P-0002,4,4,39.9749,95.386
previous,P-0002,5,4,40.4762,95.386
previous,P-0002,6,4,40.6139,95.386
previous,P-0002,7,4,40.695,95.386
previous,P-0002,8,4,41.0456,95.386
previous,P-0002,9,4,40.82,95.386
previous,P-0002,0,5,39.6824,95.386
previous,P-0002,1,5,39.6929,95.386
previous,P-0002,2,5,40.256,95.386
previous,P-0002,3,5,40.2355,95.386
previous,P-0002,4,5,40.1049,95.386
previous,P-0002,5,5,40.3799,95.386
previous,P-0002,6,5,40.4828,95.386
previous,P-0002,7,5,40.4217,95.386
previous,P-0002,8,5,41.093,95.386
previous,P-0002,9,5,40.8806,95.386
previous,P-0002,0,6,40.1986,95.386
previous,P-0002,1,6,39.7771,95.386
previous,P-0002,2,6,40.1261,95.386
previous,P-0002,3,6,40.0403,95.386
previous,P-0002,4,6,40.2269,95.386
previous,P-0002,5,6,40.2359,95.386
previous,P-0002,6,6,40.1296,95.386
previous,P-0002,7,6,40.8987,95.386
previous,P-0002,8,6,40.636,95.386
previous,P-0002,9,6,41.1606,95.386
previous,P-0002,0,7,39.9614,95.386
previous,P-0002,1,7,39.5943,95.386
previous,P-0002,2,7,39.6911,95.386
previous,P-0002,3,7,39.8718,95.386
previous,P-0002,4,7,39.7692,95.386
previous,P-0002,5,7,40.3145,95.386
previous,P-0002,6,7,40.6275,95.386
previous,P-0002,7,7,40.369,95.386
previous,P-0002,8,7,40.7719,95.386
previous,P-0002,9,7,40.7975,95.386
previous,P-0002,0,8,39.4893,95.386
previous,P-0002,1,8,39.6532,95.386
previous,P-0002,2,8,39.8469,95.386
previous,P-0002,3,8,39.8058,95.386
previous,P-0002,4,8,40.0591,95.386
previous,P-0002,5,8,40.088,95.386
previous,P-0002,6,8,40.3614,95.386
previous,P-0002,7,8,40.318,95.386
previous,P-0002,8,8,40.795,95.386
previous,P-0002,9,8,40.7194,95.386
previous,P-0002,0,9,39.2509,95.386
previous,P-0002,1,9,39.5648,95.386
previous,P-0002,2,9,39.7207,95.386
previous,P-0002,3,9,39.7794,95.386
previous,P-0002,4,9,39.7138,95.386
previous,P-0002,5,9,40.1198,95.386
previous,P-0002,6,9,40.3145,95.386
previous,P-0002,7,9,40.5064,95.386
previous,P-0002,8,9,40.7607,95.386
previous,P-0002,9,9,40.8192,95.386
previous,P-0003,0,0,40.2128,93.866
previous,P-0003,1,0,40.2903,93.866
previous,P-0003,2,0,40.2093,93.866
previous,P-0003,3,0,40.6336,93.866
previous,P-0003,4,0,40.7463,93.866
previous,P-0003,5,0,40.9622,93.866
previous,P-0003,6,0,40.733,93.866
previous,P-0003,7,0,41.2768,93.866
previous,P-0003,8,0,41.2917,93.866
previous,P-0003,9,0,41.3499,93.866
previous,P-0003,0,1,40.0217,93.866
previous,P-0003,1,1,40.0559,93.866
previous,P-0003,2,1,40.3712,93.866
previous,P-0003,3,1,40.354,93.866
previous,P-0003,4,1,40.549,93.866
previous,P-0003,5,1,40.6225,93.866
previous,P-0003,6,1,40.8378,93.866
previous,P-0003,7,1,40.821,93.866
previous,P-0003,8,1,40.8403,93.866
previous,P-0003,9,1,41.8682,93.866
previous,P-0003,0,2,40.001,93.866
previous,P-0003,1,2,40.6234,93.866
previous,P-0003,2,2,40.1877,93.866
previous,P-0003,3,2,40.3161,93.866
previous,P-0003,4,2,40.4002,93.866
previous,P-0003,5,2,40.6966,93.866
previous,P-0003,6,2,40.7671,93.866
previous,P-0003,7,2,40.6721,93.866
previous,P-0003,8,2,40.9002,93.866
previous,P-0003,9,2,41.059,93.866
previous,P-0003,0,3,39.913,93.866
previous,P-0003,1,3,40.0192,93.866
previous,P-0003,2,3,40.1198,93.866
previous,P-0003,3,3,40.0913,93.866
previous,P-0003,4,3,40.1334,93.866
previous,P-0003,5,3,40.6992,93.866
previous,P-0003,6,3,40.6846,93.866
previous,P-0003,7,3,40.9171,93.866
previous,P-0003,8,3,41.1613,93.866
previous,P-0003,9,3,40.8079,93.866
previous,P-0003,0,4,39.8148,93.866
previous,P-0003,1,4,40.1028,93.866
previous,P-0003,2,4,39.7883,93.866
previous,P-0003,3,4,39.9273,93.866
previous,P-0003,4,4,40.0549,93.866
previous,P-0003,5,4,40.1295,93.866
previous,P-0003,6,4,40.6622,93.866
previous,P-0003,7,4,40.7573,93.866
previous,P-0003,8,4,40.6744,93.866
previous,P-0003,9,4,40.7563,93.866
previous,P-0003,0,5,39.5702,93.866
previous,P-0003,1,5,40.0155,93.866
previous,P-0003,2,5,39.7187,93.866
previous,P-0003,3,5,39.7346,93.866
previous,P-0003,4,5,40.1517,93.866
previous,P-0003,5,5,40.0993,93.866
previous,P-0003,6,5,40.7742,93.866
previous,P-0003,7,5,40.6602,93.866
previous,P-0003,8,5,40.7402,93.866
previous,P-0003,9,5,40.9306,93.866
previous,P-0003,0,6,39.5382,93.866
previous,P-0003,1,6,39.6539,93.866
previous,P-0003,2,6,40.2867,93.866
previous,P-0003,3,6,40.145,93.866
previous,P-0003,4,6,40.0641,93.866
previous,P-0003,5,6,40.2849,93.866
previous,P-0003,6,6,40.2649,93.866
previous,P-0003,7,6,40.7452,93.866
previous,P-0003,8,6,40.1331,93.866
previous,P-0003,9,6,40.8186,93.866
previous,P-0003,0,7,39.3887,93.866
previous,P-0003,1,7,39.8388,93.866
previous,P-0003,2,7,39.783,93.866
previous,P-0003,3,7,39.5878,93.866
previous,P-0003,4,7,40.012,93.866
previous,P-0003,5,7,40.1708,93.866
previous,P-0003,6,7,40.592,93.866
previous,P-0003,7,7,40.5406,93.866
previous,P-0003,8,7,40.658,93.866
previous,P-0003,9,7,40.8627,93.866
previous,P-0003,0,8,39.1122,93.866
previous,P-0003,1,8,39.4742,93.866
previous,P-0003,2,8,39.3757,93.866
previous,P-0003,3,8,40.2144,93.866
previous,P-0003,4,8,39.8956,93.866
previous,P-0003,5,8,40.2419,93.866
previous,P-0003,6,8,40.095,93.866
previous,P-0003,7,8,40.3731,93.866
previous,P-0003,8,8,40.5595,93.866
previous,P-0003,9,8,40.9013,93.866
previous,P-0003,0,9,39.4624,93.866
previous,P-0003,1,9,39.4694,93.866
previous,P-0003,2,9,39.3256,93.866
previous,P-0003,3,9,40.2172,93.866
previous,P-0003,4,9,39.853,93.866
previous,P-0003,5,9,40.0192,93.866
previous,P-0003,6,9,40.1389,93.866
previous,P-0003,7,9,40.6609,93.866
previous,P-0003,8,9,40.4652,93.866
previous,P-0003,9,9,40.6846,93.866
previous,P-0004,0,0,39.884,94.33
